mean_timeI,mean_timeRT,mean_timeD,stdev_timeI,stdev_timeRT,stdev_timeD
0.0001788,0.0021809000000000004,0.0001067,2.5191709394604853e-05,0.00010987917606777606,1.2780627701503725e-05
0.0001893,0.0022556,0.000113,2.9694930356693693e-05,0.00018672510989866008,1.7851237118661178e-05
0.0001916,0.0024406999999999996,0.0001119,1.3259797216481936e-05,0.0004580917060055891,1.622378226897511e-05
0.00018470000000000002,0.0025306,0.00011219999999999999,2.7309135630570383e-05,0.0005257367740186677,1.786865660560102e-05
0.0001685,0.0029812,0.00010729999999999999,2.4568498348721094e-05,0.0010616516273136767,1.2229745159514434e-05
0.0001688,0.0026684,9.98e-05,2.05901810471777e-05,0.0005664947190103955,1.1053405709453433e-05
0.000167,0.0026931,0.00010449999999999999,2.266176417571138e-05,0.0003324222381917979,1.677465018678151e-05
0.00017010000000000001,0.0027917000000000003,0.0001098,2.777468871712756e-05,0.0004948548721033717,1.9589112622406696e-05
0.0001682,0.0028313,0.0001015,1.7655971605474823e-05,0.0003648719866839145,1.5020356557389412e-05
0.0001684,0.00282,0.00011150000000000001,2.7496262372265152e-05,0.00025526239223373445,3.030309848477178e-05
0.0001684,0.0027827999999999998,0.00010039999999999999,1.757017675241519e-05,0.00014623025982637413,1.541427909439815e-05
0.00018350000000000002,0.002843,0.00010339999999999999,3.5672117963473936e-05,0.00012566357202201966,1.798270774321203e-05
0.0001673,0.0029538999999999998,0.0001042,1.8541544943420674e-05,0.00015193086878211712,1.2452576707921404e-05
0.0002062,0.0030493,0.0001148,7.158336243693627e-05,0.00017117181102298615,1.710620420263427e-05
0.0001938,0.0034362000000000004,0.0001111,3.088257329519892e-05,0.0008075836110823999,2.7674496883914222e-05
0.0001953,0.0033558999999999998,0.00010300000000000001,6.210573421369577e-05,0.0007201580767828376,1.5333333333333334e-05
0.00019,0.0035983,0.0001086,6.504869970516961e-05,0.0010512723560841247,2.4341094652642247e-05
0.0001771,0.0036405,0.0001077,3.124259912363246e-05,0.0007507288680564596,1.7423164657049723e-05
0.00017339999999999999,0.0037151000000000003,0.0001088,3.253784121774386e-05,0.0005324481091044357,1.1820885471627465e-05
0.000176,0.003985600000000001,0.0001068,2.0160467366716583e-05,0.0014514240669846364,1.685098084847157e-05
0.00017669999999999999,0.0034858,0.00010180000000000001,1.3744089638822934e-05,0.0001933539069513036,1.722917422410153e-05
0.0002032,0.0036385000000000002,0.00010499999999999999,6.630032679658023e-05,0.0002596622806647126,1.3207741837439302e-05
0.0001838,0.0036812,0.0001013,3.519090791667643e-05,0.0003677453225021663,1.624841872648262e-05
0.0001894,0.0037732,0.0001049,3.4801660241367154e-05,0.0002044248299769651,1.0619165064479723e-05
0.00018140000000000002,0.0038378,0.000109,3.019639419239029e-05,0.00037205489439657224,1.2560962454277849e-05
0.0001799,0.0038238,0.0001126,1.447181168110383e-05,0.0001894018655311153,4.4796329214692484e-05
0.0001752,0.0040982,0.00010729999999999999,1.7229174224101526e-05,0.0004926363996115413,1.2849989191521616e-05
0.0001961,0.0041098,0.00010020000000000001,3.538502508124022e-05,0.000549835490548461,6.729701991090608e-06
0.00018649999999999998,0.0043203,0.00010759999999999999,2.58725508771147e-05,0.0009075231310183413,1.3150411907363713e-05
0.00020080000000000003,0.0044866,0.0001028,4.242326405798277e-05,0.000965786173712035,6.051629716218782e-06
0.00019109999999999998,0.0043853,0.0001061,3.443657616224032e-05,0.00045554900943806255,6.314885412877876e-06
0.0002772,0.0043875,0.0001222,0.0001566189998407317,0.00028936914140937703,1.2830519171967374e-05
0.0002212,0.0045525999999999995,0.0001149,2.443494765017242e-05,0.0005084761985033757,2.102088908152502e-05
0.00022019999999999999,0.0049586,0.0001295,2.6960052752998177e-05,0.0013511448807914303,2.7913557040740376e-05
